name,abundance,abbreviation
Romania,15.3,ROU
Iceland,14.4,ISL
Spain,13.3,ESP
Italy,12.7,ITA
Germany,12.5,DEU
Norway,12.3,NOR
Bulgaria,12.2,BGR
Hungary,12.0,HUN
Malta,10.7,MLT
Cyprus,10.2,CYP
European Union - 27 countries (from 2020),9.8,EU
Denmark,9.8,DNK
Estonia,9.8,EST
Luxembourg,9.3,LUX
Sweden,8.4,SWE
Finland,8.2,FIN
Austria,8.0,AUT
Slovakia,7.8,SVK
France,7.8,FRA
Latvia,7.3,LVA
Belgium,6.7,BEL
Czechia,6.4,CZE
Serbia,6.3,SRB
Portugal,5.9,PRT
Poland,5.9,POL
Lithuania,5.3,LTU
Netherlands,5.1,NLD
Switzerland,4.9,CHE
Ireland,3.3,IRL
Greece,3.2,GRC
Slovenia,3.1,SVN
Croatia,2.4,HRV
